journal_title	domain
Journal of Social and Personal Relationships	SSH
Social Psychiatry and Psychiatric Epidemiology	SSH
Junior Medical Journal	STEM
Izvestia Ural Federal University Journal Series 1. Issues in Education,  Science and Culture	SSH
Innovation in Aging	SSH
Journal of Autism and Developmental Disorders	SSH
Advances in Psychology	SSH
Journal of Romance Studies	SSH
Wildlife Research	Unknown or multidisciplinary
Frontiers in Psychiatry	SSH
International Journal of Environmental Research and Public Health	STEM
Journal of Aging and Health	SSH
Journal of Community Psychology	SSH
Journal of Research on Adolescence	Unknown or multidisciplinary
Experimental Aging Research	SSH
Gerontology and Geriatric Medicine	STEM
Social Science Computer Review	SSH
International Journal of Aging	SSH
Journal of the Korean Society for Research on Nicotine and Tobacco	SSH
Pastoral Care in Education	SSH
Annales Universitatis Mariae Curie-Skłodowska, sectio J, Paedagogia-Psychologia	SSH
International Journal of Older People Nursing	STEM
PLOS ONE	Unknown or multidisciplinary
Innovation in Aging	SSH
The American Journal of Psychoanalysis	SSH
Turkiye Klinikleri Journal of Nursing Sciences	STEM
Journal of Human Understanding and Counseling	SSH
Journal of Gerontological Social Work	SSH
Behaviour Research and Therapy	SSH
Journal of Dental Education	SSH
Aging & Mental Health	SSH
Journal of Aging and Health	SSH
Journal of the Academy of Nutrition and Dietetics	STEM
Religious Studies Review	SSH
International Journal of Environmental Research and Public Health	STEM
Journal of Epidemiology and Community Health	SSH
Journal of Holistic Nursing	STEM
Children and Youth Services Review	SSH
Journal of Religion and Health	STEM
International Journal of Nursing Sciences	STEM
International Journal of Environmental Research and Public Health	STEM
Frontiers in Psychology	SSH
Current Psychology	SSH
The American Journal of Geriatric Psychiatry	SSH
Journal of Clinical Psychology	SSH
International Journal of Older People Nursing	STEM
Child Psychiatry & Human Development	SSH
European Psychiatry	SSH
Brain, Behavior, and Immunity	SSH
British Journal of Health Psychology	SSH
Aging & Mental Health	SSH
International Journal of Environmental Research and Public Health	STEM
Frontiers in Public Health	STEM
Journal of Loss and Trauma	Unknown or multidisciplinary
Journalism and Communications	SSH
Izvestia Ural Federal University Journal Series 1. Issues in Education, Science and Culture	SSH
Scandinavian Journal of Psychology	SSH
Journal of Affective Disorders Reports	STEM
PLOS ONE	Unknown or multidisciplinary
The Proceedings of the Annual Convention of the Japanese Psychological Association	SSH
Uluslararası İnsan Çalışmaları Dergisi	Unknown or multidisciplinary
Indian Journal of Public Health Research & Development	SSH
The Korea Journal of Sport	Unknown or multidisciplinary
Journal of the Korea Academia-Industrial cooperation Society	SSH
The Laryngoscope	Unknown or multidisciplinary
Journal of Homosexuality	Unknown or multidisciplinary
Transgender Health	STEM
Translational Pediatrics	Unknown or multidisciplinary
British Journal of Guidance & Counselling	SSH
International Journal of Geriatric Psychiatry	SSH
Research in Gerontological Nursing	STEM
Journal of Family Violence	SSH
European Journal of Special Needs Education	SSH
Journal of Clinical Nursing	STEM
Royal Society Open Science	SSH
Child Development	SSH
Journal of Ethnic & Cultural Diversity in Social Work	SSH
BMC Psychiatry	SSH
Aging, Neuropsychology, and Cognition	SSH
Evidence Based Nursing	STEM
PsyCh Journal	SSH
Archives of Clinical Neuropsychology	SSH
Journal of Clinical Oncology	STEM
Healthcare	STEM
Applied Research in Quality of Life	SSH
Psychological Reports	SSH
Frontiers in Public Health	STEM
Applied Psychology: Health and Well-Being	SSH
Behaviour & Information Technology	SSH
Autism	Unknown or multidisciplinary
Journal of Adolescence	Unknown or multidisciplinary
Drug and Alcohol Review	Unknown or multidisciplinary
PLOS ONE	Unknown or multidisciplinary
Journal of muscle and joint health	STEM
Ageing and Society	SSH
Frontiers in Psychiatry	SSH
International Journal of Mental Health Systems	STEM
Journal of Youth and Adolescence	Unknown or multidisciplinary
Journal of Youth and Adolescence	Unknown or multidisciplinary
Social Psychiatry and Psychiatric Epidemiology	SSH
Akademik Araştırmalar ve Çalışmalar Dergisi (AKAD)	Unknown or multidisciplinary
Anemon Muş Alparslan Üniversitesi Sosyal Bilimler Dergisi	Unknown or multidisciplinary
Current Research in Behavioral Sciences	SSH
Sibirskiy filologicheskiy zhurnal	Unknown or multidisciplinary
Nursing Science	STEM
DIGITAL HEALTH	STEM
Frontiers in Public Health	STEM
Mental Health Review Journal	STEM
Social Welfare Policy and Practice	SSH
Frontiers in Public Health	STEM
Health & Social Care in the Community	SSH
Aging & Mental Health	SSH
Health and Quality of Life Outcomes	SSH
Journal of Marketing Research	STEM
International Journal of Environmental Research and Public Health	STEM
Current Psychology	SSH
Cognition and Emotion	Unknown or multidisciplinary
Вестник Пермского университета. Философия. Психология. Социология	Unknown or multidisciplinary
Life	Unknown or multidisciplinary
Behavioral Sciences	SSH
Journal of Social and Personal Relationships	SSH
Pain Medicine	STEM
The Journals of Gerontology Series B: Psychological Sciences and Social Sciences	SSH
BMC Geriatrics	STEM
Journal of Social and Clinical Psychology	SSH
Brain and Behavior	SSH
International Journal of Environmental Research and Public Health	STEM
Scientific Reports	STEM
Health & Social Care in the Community	SSH
Australasian Psychiatry	SSH
Personality and Individual Differences	Unknown or multidisciplinary
Research on Aging	SSH
The Jounal of Cultural Exchange	SSH
Scandinavian Journal of Child and Adolescent Psychiatry and Psychology	SSH
Journal of Psychiatric and Mental Health Nursing	SSH
Journal of Research in Special Educational Needs	SSH
Children and Youth Services Review	SSH
Cognitive Therapy and Research	SSH
International Journal of Behavioral Medicine	SSH
Health & Social Care in the Community	SSH
International Journal of Environmental Research and Public Health	STEM
Annales Universitatis Mariae Curie-Skłodowska, sectio J, Paedagogia-Psychologia	SSH
Current Psychology	SSH
Development and Psychopathology	SSH
The Journal of nutrition, health and aging	SSH
Journal of Social and Clinical Psychology	SSH
Journal of Elder Abuse & Neglect	Unknown or multidisciplinary
Japanese Psychological Research	SSH
Neuroscience	STEM
Journal of Renal Nutrition	STEM
Otolaryngology–Head and Neck Surgery	Unknown or multidisciplinary
Advances in Psychology	SSH
Archives of Gerontology and Geriatrics	STEM
Philology. Issues of Theory and Practice	SSH
AIJ Journal of Technology and Design	STEM
Journal of Social Science	SSH
INTERNATIONAL REFEREED JOURNAL OF NURSING RESEARCHES	STEM
Cerebral Cortex	Unknown or multidisciplinary
International Psychogeriatrics	SSH
The Journal of Psychology	SSH
THE KOREAN JOURNAL OF COUNSELING AND PSYCHOTHERAPY	SSH
Computers in Human Behavior	SSH
BMC Public Health	STEM
BMC Geriatrics	STEM
Alzheimer's & Dementia	STEM
PLOS ONE	Unknown or multidisciplinary
JURNAL PENELITIAN PENDIDIKAN, PSIKOLOGI DAN KESEHATAN (J-P3K)	SSH
Acibadem Universitesi Saglik Bilimleri Dergisi	Unknown or multidisciplinary
Journal of Tourism Studies	SSH
Exercise and Quality of Life	SSH
Psicologia, Saúde & Doença	SSH
Journal of the Korea Academia-Industrial cooperation Society	SSH
International Psychogeriatrics	SSH
Journal of Clinical Oncology	STEM
Journal of Aging Studies	SSH
International Journal of Older People Nursing	STEM
Frontiers in Psychiatry	SSH
Journal of Child & Adolescent Trauma	SSH
SSM - Population Health	STEM
Revista Portuguesa de Psiquiatria e Saúde Mental	Unknown or multidisciplinary
Journal of Religion & Spirituality in Social Work: Social Thought	SSH
Psychology and Aging	SSH
Alzheimer's & Dementia	STEM
Journal of Personality Assessment	Unknown or multidisciplinary
Social Science & Medicine	SSH
Journal of Child and Family Studies	SSH
Aging & Mental Health	SSH
Journal of Pediatric Nursing	STEM
Social Science & Medicine	SSH
International Journal of Environmental Research and Public Health	STEM
Current Psychology	SSH
International Journal of Environmental Research and Public Health	STEM
Journal of Investigative Psychology and Offender Profiling	SSH
Journal of Human Behavior in the Social Environment	SSH
Computers in Human Behavior Reports	SSH
Computers in Human Behavior	SSH
Qualitative Research in Psychology	SSH
Quality of Life Research	SSH
International Journal of Environmental Research and Public Health	STEM
Social Science & Medicine	SSH
Psychiatria Danubina	SSH
Child and Adolescent Psychiatry and Mental Health	SSH
International Journal of Environmental Research and Public Health	STEM
Journal of Holistic Nursing	STEM
European Journal of Geriatrics and Gerontology	STEM
Oman Medical Journal	STEM
Korean Journal of Child Studies	SSH
Medpulse International Journal of Anatomy	STEM
Journal of Aging and Health	SSH
Innovation in Aging	SSH
BMC Psychiatry	SSH
Journal of British Cinema and Television	Unknown or multidisciplinary
BMJ Open	Unknown or multidisciplinary
Advances in Psychology	SSH
Frontiers in Neuroscience	STEM
Social Science & Medicine	SSH
European Journal of Mental Health	STEM
International Journal of Environmental Research and Public Health	STEM
International Journal of Environmental Research and Public Health	STEM
Social Development	SSH
BMJ Open	Unknown or multidisciplinary
Applied Research in Quality of Life	SSH
The Journal of Psychology	SSH
Computers in Human Behavior	SSH
Journal of Ethnic and Migration Studies	SSH
Journal of Child and Adolescent Psychiatric Nursing	SSH
AIDS and Behavior	SSH
Journal of Research on Adolescence	Unknown or multidisciplinary
JAIDS Journal of Acquired Immune Deficiency Syndromes	STEM
Developmental Psychology	SSH
AIDS and Behavior	SSH
Aging & Mental Health	SSH
Journal of College Counseling	SSH
Frontiers in Psychology	SSH
Journal of Adolescence	Unknown or multidisciplinary
Personality and Individual Differences	Unknown or multidisciplinary
American Journal of Orthopsychiatry	SSH
BMC Women's Health	STEM
Perspectives in Public Health	STEM
Human Resource Management	STEM
Jurnal Keperawatan Hang Tuah (Hang Tuah Nursing Journal)	STEM
Journal of Gerontology	Unknown or multidisciplinary
World of Media. Journal of Russian Media and Journalism Studies	SSH
Journal of Human Sciences	Unknown or multidisciplinary
European Psychiatry	SSH
Aging & Mental Health	SSH
Journal of Palliative Medicine	STEM
The American Journal of Geriatric Psychiatry	SSH
Research in Gerontological Nursing	STEM
Journal of African Films & Diaspora Studies	SSH
Aquichan	Unknown or multidisciplinary
Journal of Business Research - Turk	STEM
Online Türk Sağlık Bilimleri Dergisi	Unknown or multidisciplinary
Journal of Health Psychology	SSH
Acta Paediatrica	Unknown or multidisciplinary
Journal of Psychosomatic Research	SSH
European Journal of Geriatrics and Gerontology	STEM
Frontiers in Psychology	SSH
International Journal of Environmental Research and Public Health	STEM
Journal of Theoretical and Philosophical Psychology	SSH
Aging & Mental Health	SSH
International Journal of Environmental Research and Public Health	STEM
The Journal of Early Adolescence	Unknown or multidisciplinary
Journal of Clinical Psychology in Medical Settings	SSH
Journal of Pain and Symptom Management	STEM
The Proceedings of the Annual Convention of the Japanese Psychological Association	SSH
Social Behavior and Personality: an international journal	SSH
Suicide and Life-Threatening Behavior	SSH
International Journal of Psychiatry in Clinical Practice	SSH
Cognitive Neuroscience	STEM
British Journal of Clinical Psychology	SSH
Journal of Developmental and Life-Course Criminology	SSH
Alzheimer's & Dementia	STEM
Journal of Gay & Lesbian Social Services	SSH
PLOS ONE	Unknown or multidisciplinary
Translational Pediatrics	Unknown or multidisciplinary
Psychological Trauma: Theory, Research, Practice, and Policy	SSH
Journal of Digital Contents Society	SSH
Journal of Affective Disorders	STEM
Child and Adolescent Mental Health	SSH
Journal of Ethnic and Migration Studies	SSH
Journal of Advanced Nursing	STEM
Journal of Indian Association for Child and Adolescent Mental Health	SSH
Geriatrics & Gerontology International	STEM
Frontiers in Aging Neuroscience	SSH
Journal of Affective Disorders Reports	STEM
Current Psychology	SSH
Annals of Leisure Research	Unknown or multidisciplinary
Journal of Aging and Health	SSH
Health & Social Care in the Community	SSH
Psychology, Health & Medicine	SSH
European Journal of Ageing	SSH
Psychiatry Research	SSH
Australian and New Zealand Journal of Public Health	STEM
Journal of Aging and Health	SSH
Cyberpsychology, Behavior, and Social Networking	SSH
The Boolean 2022	Unknown or multidisciplinary
Current Research in Behavioral Sciences	SSH
Общество: философия, история, культура	Unknown or multidisciplinary
The International Journal of Aging and Human Development	SSH
Korean Journal of Hospitality & Tourism	STEM
International Journal of Environmental Research and Public Health	STEM
Journal of the American Medical Directors Association	STEM
RumeliDE Dil ve Edebiyat Araştırmaları Dergisi	Unknown or multidisciplinary
Nursing Science	STEM
The American Journal of Geriatric Psychiatry	SSH
Korean Association For Learner-Centered Curriculum And Instruction	Unknown or multidisciplinary
Personality and Individual Differences	Unknown or multidisciplinary
Advances in Psychology	SSH
Advances in Psychology	SSH
Journal of Child and Family Studies	SSH
Journal of Affective Disorders	STEM
Journal of Ageing and Longevity	SSH
Journal of Psychosocial Nursing and Mental Health Services	SSH
International Journal of Integrated Care	Unknown or multidisciplinary
International Journal of Audiology	Unknown or multidisciplinary
International Journal of Environmental Research and Public Health	STEM
Journal of Marriage and Family	SSH
Innovation in Aging	SSH
Applied Psychology: Health and Well-Being	SSH
Frontiers in Psychiatry	SSH
International Journal of Geriatric Psychiatry	SSH
British Journal of Clinical Psychology	SSH
Scandinavian Journal of Occupational Therapy	SSH
The Journals of Gerontology: Series B	Unknown or multidisciplinary
Journal of Religion and Health	STEM
Australasian Journal on Ageing	SSH
Journal of Aging and Health	SSH
Proceedings of the Human Factors and Ergonomics Society Annual Meeting	SSH
The Journals of Gerontology: Series B	Unknown or multidisciplinary
Frontiers in Psychology	SSH
Journal of Environmental and Public Health	STEM
Educational Gerontology	SSH
Journal of Community & Applied Social Psychology	SSH
Journal of Psychosocial Oncology	SSH
Perspectives in Psychiatric Care	SSH
Geriatric Nursing	STEM
Journal of Abnormal Psychology	SSH
Social Psychiatry and Psychiatric Epidemiology	SSH
Journal of LGBT Youth	Unknown or multidisciplinary
Journal of Applied Gerontology	Unknown or multidisciplinary
International Journal of Environmental Research and Public Health	STEM
Journal of Gerontology	Unknown or multidisciplinary
The Journals of Gerontology: Series B	Unknown or multidisciplinary
Archives of Sexual Behavior	SSH
International Journal of Sexual Health	STEM
Vektor nauki Tol'yattinskogo gosudarstvennogo universiteta. Seriya Pedagogika i psihologiya	SSH
Social Work Research	SSH
International Journal of Qualitative Studies on Health and Well-being	SSH
International Journal of Advanced Research	Unknown or multidisciplinary
Aging & Mental Health	SSH
Health and Quality of Life Outcomes	SSH
Health Research Journal	STEM
Advances in Psychology	SSH
Applied Research in Quality of Life	SSH
Journal of Affective Disorders	STEM
Journal of Long-Term Care	Unknown or multidisciplinary
Alzheimer's & Dementia	STEM
Augmentative and Alternative Communication	SSH
Canadian Journal on Aging / La Revue canadienne du vieillissement	SSH
Archives of Gerontology and Geriatrics	STEM
Neuromodulation: Technology at the Neural Interface	STEM
Open Journal of Nursing	STEM
Psychology in Education	SSH
Health & Social Care in the Community	SSH
Revista Brasileira de Geriatria e Gerontologia	STEM
Теоретичні і прикладні проблеми психології	Unknown or multidisciplinary
Sleep and Biological Rhythms	STEM
PLOS ONE	Unknown or multidisciplinary
Scandinavian Journal of Caring Sciences	Unknown or multidisciplinary
International Journal of Mental Health and Addiction	STEM
The Journals of Gerontology: Series B	Unknown or multidisciplinary
International Journal of Mental Health Nursing	STEM
Journal of Racial and Ethnic Health Disparities	STEM
International Journal of Environmental Research and Public Health	STEM
Journal of Child Psychology and Psychiatry	SSH
International Journal of Social Psychiatry	SSH
International Journal of Environmental Research and Public Health	STEM
International Journal of Environmental Research and Public Health	STEM
International Journal of Mental Health and Addiction	STEM
Scandinavian Journal of Public Health	STEM
The Lancet Regional Health - Europe	STEM
Social Development	SSH
International Journal of Human-Computer Studies	SSH
Journal of Social and Personal Relationships	SSH
Scandinavian Journal of Psychology	SSH
Advances in Social Sciences	SSH
International Journal of Environmental Research and Public Health	STEM
STRESS	Unknown or multidisciplinary
Journal of British Cinema and Television	Unknown or multidisciplinary
Journal of Social and Personal Relationships	SSH
Sustainability	Unknown or multidisciplinary
Journal of the American Academy of Child & Adolescent Psychiatry	SSH
Current Psychology	SSH
Amadeus International Multidisciplinary Journal	Unknown or multidisciplinary
Psychology in the Schools	SSH
Computers in Human Behavior: Artificial Humans	SSH
Psychology and Aging	SSH
Çanakkale Onsekiz Mart Üniversitesi Uluslararası Sosyal Bilimler Dergisi	Unknown or multidisciplinary
BMJ Open	Unknown or multidisciplinary
International Journal of Environmental Research and Public Health	STEM
Alzheimer's & Dementia	STEM
The Gerontologist	Unknown or multidisciplinary
School Mental Health	STEM
Zeitschrift für Gerontologie und Geriatrie	STEM
BMC Public Health	STEM
Scientific Reports	STEM
The Gerontologist	Unknown or multidisciplinary
International Journal of Geriatric Psychiatry	SSH
Akdeniz Spor Bilimleri Dergisi	Unknown or multidisciplinary
Social Psychiatry and Psychiatric Epidemiology	SSH
Wellbeing, Space and Society	SSH
Current Research in Ecological and Social Psychology	SSH
Journal of Affective Disorders	STEM
Substance Use & Misuse	Unknown or multidisciplinary
World Psychiatry	SSH
Social Psychiatry and Psychiatric Epidemiology	SSH
Cortex	Unknown or multidisciplinary
Computers in Human Behavior	SSH
Aging & Mental Health	SSH
Brain Sciences	STEM
Alzheimer's & Dementia	STEM
Archives of Gerontology and Geriatrics	STEM
Behavioural Brain Research	SSH
Journal of Pediatric Nursing	STEM
Sexuality Research and Social Policy	SSH
JMIR Formative Research	Unknown or multidisciplinary
International Journal of Qualitative Methods	SSH
Scientific Reports	STEM
Journal of Next-generation Convergence Information Services Technology	STEM
Korean Journal of Journalism & Communication Studies	SSH
Korean Association of Health and Medical Sociology	SSH
British Journal of Psychology	SSH
Health & Social Care in the Community	SSH
Revista do Centro de Estudos Portugueses	Unknown or multidisciplinary
Social Psychiatry and Psychiatric Epidemiology	SSH
British Journal of Social Psychology	SSH
World Literature Studies	SSH
Journal of Geriatric Mental Health	STEM
International Journal of Environmental Research and Public Health	STEM
Gerontology and Geriatric Medicine	STEM
Journal of Youth and Adolescence	Unknown or multidisciplinary
Personality Disorders: Theory, Research, and Treatment	SSH
Archives of Gerontology and Geriatrics	STEM
Healthcare	STEM
Scientific Reports	STEM
Scientific Reports	STEM
Aging & Mental Health	SSH
Journal of Primary Care & Community Health	SSH
Journal of Child and Family Studies	SSH
Health & Social Care in the Community	SSH
European Psychiatry	SSH
Journal of the American Geriatrics Society	SSH
European Journal of Ageing	SSH
Health Psychology and Behavioral Medicine	SSH
Clinical Gerontologist	STEM
International Journal of Mental Health and Addiction	STEM
Journal of Aging and Physical Activity	SSH
The Journal of Early Adolescence	Unknown or multidisciplinary
Health & Social Care in the Community	SSH
Journal of Medical Internet Research	STEM
Frontiers in Psychology	SSH
Journal of Ethnic and Migration Studies	SSH
Journal of American College Health	STEM
Sakarya University Journal of Education	SSH
Frontiers in Psychology	SSH
Journal of Ageing and Longevity	SSH
International Journal of Adolescence and Youth	Unknown or multidisciplinary
Intelligence. Innovations. Investment	Unknown or multidisciplinary
Collegium antropologicum	Unknown or multidisciplinary
Journal of Applied Gerontology	Unknown or multidisciplinary
Scientific Reports	STEM
International Journal of Environmental Research and Public Health	STEM
Social Science Computer Review	SSH
Journal of Child and Adolescent Psychiatric Nursing	SSH
Western Journal of Nursing Research	STEM
Personality and Social Psychology Bulletin	SSH
Frontiers in Public Health	STEM
Health & Social Care in the Community	SSH
Journal of the Korea Academia-Industrial cooperation Society	SSH
Psychology Research and Behavior Management	SSH
Alzheimer's & Dementia	STEM
Psychiatry Investigation	SSH
The Journals of Gerontology Series B: Psychological Sciences and Social Sciences	SSH
Clinical Gerontologist	STEM
Advances in Life Course Research	Unknown or multidisciplinary
International Journal of Environmental Research and Public Health	STEM
International Journal of Offender Therapy and Comparative Criminology	SSH
Psychology, Health & Medicine	SSH
The American Journal of Geriatric Psychiatry	SSH
Frontiers in Digital Health	STEM
Clinical Rheumatology	STEM
Behaviour & Information Technology	SSH
The Journal of Psychology	SSH
The Journals of Gerontology: Series B	Unknown or multidisciplinary
SSM - Mental Health	STEM
Journal of Long Term Care	Unknown or multidisciplinary
Cyberpsychology, Behavior, and Social Networking	SSH
International Journal of Mental Health and Addiction	STEM
Psychology and Aging	SSH
Cognitive Therapy and Research	SSH
Sleep	Unknown or multidisciplinary
Social Science & Medicine	SSH
International Journal of Environmental Research and Public Health	STEM
Advances in Psychology	SSH
Biological Psychiatry	SSH
International Psychogeriatrics	SSH
Journal of Affective Disorders	STEM
BMC Public Health	STEM
Psychological Bulletin	SSH
Scientific Reports	STEM
Journal of Industrial Convergence	STEM
Gerontology and Geriatric Medicine	STEM
Substance Use & Misuse	Unknown or multidisciplinary
Emerging Adulthood	Unknown or multidisciplinary
Research in Autism Spectrum Disorders	STEM
The American Journal on Addictions	Unknown or multidisciplinary
Frontiers in Psychology	SSH
Aging & Mental Health	SSH
The Muslim World	Unknown or multidisciplinary
Computers in Human Behavior	SSH
Nursing Open	STEM
Aging & Mental Health	SSH
Current Psychology	SSH
Transplantation and Cellular Therapy	SSH
Social Work in Mental Health	SSH
International Journal of Environmental Research and Public Health	STEM
Archives of Gerontology and Geriatrics	STEM
Scientific Reports	STEM
Children	SSH
Frontiers in Psychiatry	SSH
Health & Social Care in the Community	SSH
Journal of Child Health Care	SSH
International Journal of Audiology	Unknown or multidisciplinary
Heliyon	Unknown or multidisciplinary
BMC Public Health	STEM
International Journal of Environmental Research and Public Health	STEM
Journal of Behavioral Medicine	SSH
Heliyon	Unknown or multidisciplinary
Age and Ageing	SSH
Journal of Affective Disorders	STEM
The Journals of Gerontology: Series B	Unknown or multidisciplinary
Psychology of Sport and Exercise	SSH
Frontiers in Sociology	SSH
Developmental Psychology	SSH
Journal of Psychiatric Research	SSH
The American Journal of Geriatric Psychiatry	SSH
Nordic Studies on Alcohol and Drugs	SSH
Journal of Japan Academy of Nursing Science	STEM
Journal of Medical Internet Research	STEM
International Journal of STD & AIDS	STEM
Advances in Social Sciences	SSH
Games for Health Journal	STEM
Social Psychiatry and Psychiatric Epidemiology	SSH
Young Scientist	Unknown or multidisciplinary
Journal of Tourism and Gastronomy Studies	SSH
BMC Psychiatry	SSH
Perspectives in Public Health	STEM
Social Psychiatry and Psychiatric Epidemiology	SSH
Development and Psychopathology	SSH
AIJ Journal of Technology and Design	STEM
Psico-USF	Unknown or multidisciplinary
Canadian Journal of Respiratory, Critical Care, and Sleep Medicine	STEM
مجلة التربیة الخاصة والتأهیل	Unknown or multidisciplinary
Journal of Racial and Ethnic Health Disparities	STEM
PsyCh Journal	SSH
Emerging Adulthood	Unknown or multidisciplinary
Advances in Social Sciences	SSH
مجلة العلوم الإنسانية و الإجتماعية	Unknown or multidisciplinary
International Journal of Ageing and Later Life	SSH
Ehquidad Revista Internacional de Políticas de Bienestar y Trabajo Social	SSH
Addictive Behaviors	SSH
Health Psychology	SSH
Journal of Human Behavior in the Social Environment	SSH
Aging & Mental Health	SSH
Journal of Human Behavior in the Social Environment	SSH
Jurnal Komunikasi: Malaysian Journal of Communication	SSH
Croatian Journal of Education  -  Hrvatski časopis za odgoj i obrazovanje	SSH
International Journal of Geriatric Psychiatry	SSH
Journal of Interpersonal Violence	Unknown or multidisciplinary
British Journal of Educational Psychology	SSH
European Child & Adolescent Psychiatry	SSH
Journal of Affective Disorders	STEM
International Journal of Environmental Research and Public Health	STEM
Frontiers in Psychiatry	SSH
Clinical Social Work Journal	SSH
Drustvena istrazivanja	Unknown or multidisciplinary
Journal of the City Planning Institute of Japan	Unknown or multidisciplinary
Journal of Psychosomatic Research	SSH
BMC Health Services Research	STEM
Anemon Muş Alparslan Üniversitesi Sosyal Bilimler Dergisi	Unknown or multidisciplinary
International Journal of Public Health	STEM
Journal of Public Health	STEM
Issues in Mental Health Nursing	STEM
Personality and Individual Differences	Unknown or multidisciplinary
مجلة العلوم التربوية و النفسية	Unknown or multidisciplinary
Research in Human Development	SSH
Animals	Unknown or multidisciplinary
Age and Ageing	SSH
Social Psychiatry and Psychiatric Epidemiology	SSH
Journal of Behavioral Medicine	SSH
Frontiers in Genetics	Unknown or multidisciplinary
Aging & Mental Health	SSH
Personality and Social Psychology Bulletin	SSH
Frontiers in Behavioral Neuroscience	SSH
International Journal of Geriatric Psychiatry	SSH
Healthcare	STEM
Child Development Perspectives	SSH
Psychiatric Quarterly	SSH
Social Psychiatry and Psychiatric Epidemiology	SSH
Eating and Weight Disorders - Studies on Anorexia, Bulimia and Obesity	SSH
Behaviour Research and Therapy	SSH
International Journal of Geriatric Psychiatry	SSH
Psychology and Aging	SSH
Health and Quality of Life Outcomes	SSH
Journal of Consulting and Clinical Psychology	SSH
The Journals of Gerontology Series A: Biological Sciences and Medical Sciences	STEM
Journal of Hunger & Environmental Nutrition	STEM
Social Psychiatry and Psychiatric Epidemiology	SSH
The Korea Academy of Case Management	STEM
Emerging Adulthood	Unknown or multidisciplinary
Journal of Adolescence	Unknown or multidisciplinary
İktisadi İdari ve Siyasal Araştırmalar Dergisi	Unknown or multidisciplinary
Journal of Personality	Unknown or multidisciplinary
Aging & Mental Health	SSH
Vestnik of Saint Petersburg University. Psychology	SSH
British Journal of Health Psychology	SSH
Nursing Praxis Aotearoa New Zealand	STEM
Ageing and Society	SSH
The Korean Society of Culture and Convergence	SSH
Social Science Computer Review	SSH
Addictive Behaviors Reports	SSH
Asian Anthropology	SSH
Social Integration Research	SSH
Frontiers in Psychology	SSH
Behaviour Change	SSH
Journal of the American Academy of Child & Adolescent Psychiatry	SSH
مجلة التربیة الخاصة والتأهیل	Unknown or multidisciplinary
Psychology Research and Behavior Management	SSH
JOURNAL OF THE KOREA CONTENTS ASSOCIATION	Unknown or multidisciplinary
Psychotherapy and Psychosomatics	SSH
The Japanese Journal of Personality	Unknown or multidisciplinary
Journal of Health Psychology	SSH
Turkish Journal of Family Medicine and Primary Care	SSH
Journal of Epidemiology and Community Health	SSH
The Gerontologist	Unknown or multidisciplinary
Learning Disabilities Research & Practice	SSH
Journal of Evidence-Based Social Work	SSH
Educational Gerontology	SSH
Journal of LGBT Issues in Counseling	SSH
The Japanese journal of psychology	SSH
Aging & Mental Health	SSH
Journal of Religion, Spirituality & Aging	SSH
Journal of Women & Aging	SSH
Social Psychiatry and Psychiatric Epidemiology	SSH
Australian & New Zealand Journal of Psychiatry	SSH
European Journal of Ageing	SSH
Emotion	Unknown or multidisciplinary
Psychological Studies	SSH
Aging & Mental Health	SSH
Journal of Community Psychology	SSH
European Child & Adolescent Psychiatry	SSH
Public Health Reports	STEM
International Journal of Environmental Research and Public Health	STEM
Child Indicators Research	SSH
BMC Geriatrics	STEM
International Journal of Environmental Research and Public Health	STEM
Journal of the American Medical Directors Association	STEM
Journal of the American Medical Directors Association	STEM
Journal of Social and Personal Relationships	SSH
Psychosomatic Medicine	SSH
Journal of Social and Personal Relationships	SSH
The Journal of Clinical Psychiatry	SSH
Progress in Neuro-Psychopharmacology and Biological Psychiatry	SSH
Brain, Behavior, and Immunity	SSH
Research in Nursing & Health	STEM
Journal of Hospice & Palliative Nursing	STEM
Journal of Computer-Mediated Communication	SSH
Scandinavian Journal of Public Health	STEM
Journal of Occupational Health Psychology	SSH
Scandinavian Journal of Public Health	STEM
Archives of Gerontology and Geriatrics	STEM
International Journal of Mental Health and Addiction	STEM
Research in Autism Spectrum Disorders	STEM
BMJ Open	Unknown or multidisciplinary
JAMA Psychiatry	SSH
International Journal of Environmental Research and Public Health	STEM
Current Cardiology Reports	Unknown or multidisciplinary
Annals of Behavioral Medicine	SSH
Geriatrics & Gerontology International	STEM
Vektor nauki Tol'yattinskogo gosudarstvennogo universiteta. Seriya Pedagogika i psihologiya	SSH
Alzheimer's & Dementia	STEM
Journal of Geriatric Oncology	STEM
RSUH/RGGU Bulletin. Series Psychology. Pedagogics. Education	SSH
The Japanese journal of psychology	SSH
Trabajo Social Hoy	SSH
British Journal of Clinical Psychology	SSH
Environment and Planning A: Economy and Space	STEM
Revista Española de Anestesiología y Reanimación (English Edition)	Unknown or multidisciplinary
Journal of Social Science and Humanities	SSH
Journal of Science Social Science	SSH
Motivation and Emotion	Unknown or multidisciplinary
Autism Research	Unknown or multidisciplinary
Archives of Physical Medicine and Rehabilitation	STEM
Journal of Personality Assessment	Unknown or multidisciplinary
Journal of Anxiety Disorders	STEM
